"ID","NAME"
"00141000007PhyaAAC","John2 Account"
"00141000006ypDgAAI","GenePoint"
"00141000006ypDeAAI","United Oil & Gas, UK"
"00141000006ypDfAAI","United Oil & Gas, Singapore"
"00141000006ypDWAAY","Edge Communications"
"00141000006ypDXAAY","Burlington Textiles Corp of America"
"00141000006ypDYAAY","Pyramid Construction Inc."
"00141000006ypDZAAY","Dickenson plc"
"00141000006ypDaAAI","Grand Hotels & Resorts Ltd"
"00141000006ypDcAAI","Express Logistics and Transport"
"00141000006ypDdAAI","University of Arizona"
"00141000006ypDbAAI","United Oil & Gas Corp."
"00141000006ypDhAAI","sForce"
"001410000075m72AAA","Green Corp"
